 ,CALANDER,CAMERA,CONTACTS,LOCATION,MICROPHONE,PHONE,SENSOR,SMS,STORAGE,OTHERS,TOTAL 
329,0,0,0,0,0,0,0,0,0,1,1
330,0,0,0,0,0,1,0,0,0,0,1
331,0,0,0,0,0,0,0,0,1,0,1
332,0,0,0,0,0,0,0,0,1,0,1
333,0,0,0,0,0,0,0,0,0,1,1
334,0,0,0,0,0,0,0,0,1,0,1
335,0,0,0,1,0,1,0,0,1,0,3
336,0,0,0,1,0,0,0,0,1,0,2
337,0,0,0,1,0,1,0,0,1,0,3
338,0,0,0,0,0,1,0,0,1,0,2
339,0,0,0,0,0,1,0,0,1,0,2
340,0,0,0,0,0,0,0,0,0,1,1
341,0,0,0,0,0,1,0,0,0,0,1
342,0,0,0,1,0,0,0,0,1,0,2
343,0,0,1,1,0,1,0,0,0,0,3
344,0,0,1,1,0,1,0,0,1,0,4
345,0,0,0,1,0,1,0,0,1,0,3
346,0,0,0,1,0,0,0,0,0,0,1
347,0,0,0,1,0,1,0,1,1,0,4
348,0,0,0,0,0,1,0,0,0,0,1
349,0,0,0,0,0,0,0,0,0,1,1
350,0,0,0,1,0,1,0,0,1,0,3
351,0,0,0,0,0,1,0,0,0,0,1
352,0,0,0,0,0,1,0,0,0,0,1
353,0,0,0,0,0,0,0,0,0,1,1
354,0,0,0,0,0,0,0,0,0,1,1
355,0,0,0,1,0,0,0,0,1,0,2
356,0,0,0,0,0,0,0,0,1,0,1
357,0,0,0,0,0,0,0,0,1,0,1
358,0,0,0,0,0,0,0,0,1,0,1
359,0,0,0,1,0,0,0,0,1,0,2
360,0,0,0,0,0,0,0,0,1,0,1
361,0,0,0,0,0,0,0,0,1,0,1
362,0,0,0,1,0,0,0,0,0,0,1
363,0,0,0,1,0,1,0,0,1,0,3
364,0,0,0,0,0,0,0,0,1,0,1
365,0,0,0,0,0,0,0,0,0,1,1
366,0,0,0,0,0,1,0,0,1,0,2
367,0,0,0,0,0,1,0,0,0,0,1
368,0,0,0,0,0,0,0,0,0,1,1
